6044683 98578 98634 98662 98665 98665 98642 98652 98646 98651 98649 98640 98628 98662 98641 98636 98612 98659 98651 98629 98640 98644 98634 98651 98646 98652 98654 98634 98744 98637 98616 98649 98631 98617 98600 98570 150.00 
6044693 98581 98636 98658 98661 98666 98643 98654 98640 98643 98649 98647 98635 98656 98639 98640 98623 98656 98648 98632 98645 98643 98642 98648 98650 98656 98652 98638 98747 98634 98616 98650 98625 98617 98600 98570 150.00 
6044703 98582 98639 98662 98660 98666 98641 98649 98642 98648 98650 98644 98640 98661 98638 98637 98618 98663 98649 98632 98636 98647 98641 98648 98641 98655 98654 98638 98751 98636 98629 98651 98629 98617 98600 98570 150.00 
6044713 98588 98633 98664 98660 98664 98645 98650 98648 98648 98639 98649 98638 98655 98641 98636 98624 98662 98646 98626 98643 98654 98637 98647 98642 98663 98658 98643 98747 98634 98623 98651 98629 98617 98600 98570 150.00 
6044723 98581 98633 98662 98663 98669 98645 98656 98648 98643 98650 98643 98640 98656 98641 98639 98619 98661 98652 98626 98632 98650 98642 98648 98639 98659 98655 98632 98745 98635 98618 98651 98628 98617 98600 98570 150.00 
6044733 98583 98631 98660 98661 98673 98649 98651 98642 98647 98644 98646 98640 98662 98645 98633 98620 98660 98650 98633 98636 98655 98632 98645 98641 98654 98655 98638 98750 98628 98624 98657 98628 98617 98600 98570 150.00 
6044743 98581 98636 98673 98662 98661 98644 98653 98649 98652 98649 98640 98644 98659 98639 98638 98623 98659 98653 98624 98632 98650 98634 98640 98649 98654 98654 98637 98749 98634 98623 98655 98629 98617 98600 98570 150.00 
6044753 98577 98633 98667 98654 98661 98639 98650 98643 98649 98649 98643 98640 98658 98644 98634 98619 98662 98647 98639 98636 98644 98641 98653 98649 98652 98650 98633 98738 98632 98623 98657 98630 98617 98600 98570 150.00 
6044763 98573 98638 98669 98657 98661 98637 98657 98653 98654 98648 98643 98644 98651 98642 98637 98622 98669 98645 98634 98637 98649 98631 98647 98648 98656 98656 98638 98750 98636 98621 98661 98628 98617 98600 98570 150.00 
6044773 98583 98630 98662 98660 98660 98647 98652 98646 98652 98646 98640 98636 98655 98638 98634 98618 98663 98654 98630 98635 98648 98639 98652 98647 98656 98652 98633 98747 98642 98617 98651 98635 98617 98600 98570 150.00 
