time pos speed
2023-08-04 23:59:47.869378 102.88137704918032 -733
2023-08-04 23:59:48.007738 107.20745901639343 -753
2023-08-04 23:59:48.196953 111.40031147540982 -734
2023-08-04 23:59:48.357735 116.2177213114754 -715
2023-08-04 23:59:48.573214 120.05106557377049 -784
2023-08-04 23:59:48.742522 125.69252459016393 -752
2023-08-04 23:59:48.877771 130.23713114754096 -793
2023-08-04 23:59:49.077386 134.55263934426227 -719
2023-08-04 23:59:49.254385 139.26995081967212 -787
2023-08-04 23:59:49.390672 143.72432786885244 -741
2023-08-04 23:59:49.548204 147.96440983606556 -785
2023-08-04 23:59:49.719614 151.58345901639342 -742
2023-08-04 23:59:49.853140 155.99624590163933 -735
2023-08-04 23:59:50.051179 160.36532786885246 -747
2023-08-04 23:59:50.193725 164.8612950819672 -762
2023-08-04 23:59:50.327487 168.52968852459014 -753
2023-08-04 23:59:50.484779 171.9605245901639 -807
2023-08-04 23:59:50.648824 176.25911475409836 -757
2023-08-04 23:59:50.788313 180.53867213114754 -724
2023-08-04 23:59:50.968470 184.436868852459 -386
2023-08-04 23:59:51.118666 185.03957377049178 1
2023-08-04 23:59:51.653753 185.04098360655738 0
2023-08-05 00:00:58.832625 185.04027868852458 0
2023-08-05 00:00:58.924345 185.04098360655738 -1
2023-08-05 00:00:59.056919 185.04098360655738 -1
2023-08-05 00:00:59.196110 185.04098360655738 -1
2023-08-05 00:00:59.547235 185.04098360655738 0
2023-08-05 00:00:59.682944 185.04098360655738 -1
2023-08-05 00:00:59.876815 185.04098360655738 -1
2023-08-05 00:01:00.012664 185.04098360655738 0
2023-08-05 00:01:00.319288 185.04027868852458 -1
2023-08-05 00:01:00.596303 185.04309836065573 -69
2023-08-05 00:01:00.733163 189.1295081967213 -753
2023-08-05 00:01:00.866638 192.74432786885245 -742
2023-08-05 00:01:01.186387 196.25059016393442 -743
2023-08-05 00:01:01.382538 204.85622950819672 -734
2023-08-05 00:01:01.550338 210.01834426229507 -765
2023-08-05 00:01:01.696962 214.48118032786883 -760
2023-08-05 00:01:01.832512 218.2080819672131 -751
2023-08-05 00:01:02.163863 222.67655737704916 -752
2023-08-05 00:01:02.367356 230.7309508196721 -765
2023-08-05 00:01:02.507204 235.9776557377049 -741
2023-08-05 00:01:02.652689 239.63054098360655 -761
2023-08-05 00:01:02.997279 243.44767213114753 -741
2023-08-05 00:01:03.182062 253.83181967213113 -745
2023-08-05 00:01:03.375755 257.4099836065574 -765
2023-08-05 00:01:03.514596 262.50442622950817 -749
2023-08-05 00:01:03.839478 266.2003114754098 -724
2023-08-05 00:01:04.038216 274.78832786885243 -720
2023-08-05 00:01:04.182877 280.1760163934426 -750
2023-08-05 00:01:04.334353 283.7795573770492 -773
2023-08-05 00:01:04.471083 287.8568032786885 -739
2023-08-05 00:01:04.915311 292.6030163934426 -739
2023-08-05 00:01:05.050219 303.1612786885246 -779
2023-08-05 00:01:05.242515 306.76340983606553 -721
2023-08-05 00:01:05.375841 310.0878032786885 30
2023-08-05 00:01:05.778996 306.91849180327864 720
2023-08-05 00:01:05.939434 297.68618032786884 703
2023-08-05 00:01:06.128414 294.05514754098357 759
2023-08-05 00:01:06.266239 288.9592950819672 728
2023-08-05 00:01:06.436220 285.43259016393444 760
2023-08-05 00:01:06.705987 279.5211475409836 738
2023-08-05 00:01:06.849024 273.810606557377 753
2023-08-05 00:01:07.041613 270.07595081967213 726
2023-08-05 00:01:07.228177 263.6400491803279 725
2023-08-05 00:01:07.363953 260.02099999999996 744
2023-08-05 00:01:07.797385 254.74891803278686 787
2023-08-05 00:01:07.938623 244.69749180327867 772
2023-08-05 00:01:08.124016 241.24339344262293 719
2023-08-05 00:01:08.266697 236.36959016393442 779
2023-08-05 00:01:08.536250 232.58488524590163 782
2023-08-05 00:01:08.704316 225.17126229508196 775
2023-08-05 00:01:08.840369 220.8902950819672 771
2023-08-05 00:01:09.025217 217.36288524590162 769
2023-08-05 00:01:09.159120 212.50177049180326 786
2023-08-05 00:01:09.352631 208.90104918032785 721
2023-08-05 00:01:09.598378 203.01075409836065 793
2023-08-05 00:01:09.735813 197.24381967213114 773
2023-08-05 00:01:09.919587 193.6762295081967 749
2023-08-05 00:01:10.055153 188.73122950819672 741
2023-08-05 00:01:10.191873 185.1953606557377 733
2023-08-05 00:01:10.523245 179.68501639344262 778
2023-08-05 00:01:10.656202 172.94177049180325 768
2023-08-05 00:01:10.820814 169.41718032786883 800
2023-08-05 00:01:10.954409 165.0974426229508 760
2023-08-05 00:01:11.090436 161.5228032786885 765
2023-08-05 00:01:11.424148 157.21363934426228 726
2023-08-05 00:01:11.573961 148.6601639344262 735
2023-08-05 00:01:11.768349 145.18491803278687 725
2023-08-05 00:01:11.901883 140.04113114754097 753
2023-08-05 00:01:12.037337 136.60183606557376 706
2023-08-05 00:01:12.371128 131.05342622950818 767
2023-08-05 00:01:12.526468 123.74624590163934 766
2023-08-05 00:01:12.723589 120.05881967213114 760
2023-08-05 00:01:12.864447 114.73809836065573 773
2023-08-05 00:01:13.002316 111.11552459016393 721
2023-08-05 00:01:13.380264 105.93578688524589 719
2023-08-05 00:01:13.518106 97.33719672131147 756
2023-08-05 00:01:13.714202 93.76044262295082 736
2023-08-05 00:01:13.854669 88.42985245901639 749
2023-08-05 00:01:14.005076 84.97575409836065 730
2023-08-05 00:01:14.391169 79.64022950819671 718
2023-08-05 00:01:14.525062 70.65675409836065 735
2023-08-05 00:01:14.746086 67.02431147540983 726
2023-08-05 00:01:14.881038 61.24891803278688 726
2023-08-05 00:01:15.020506 60.03786885245901 -14
2023-08-05 00:01:15.404663 64.60926229508196 -748
2023-08-05 00:01:15.555594 72.01795081967212 -752
2023-08-05 00:01:15.758077 75.67506557377048 -736
2023-08-05 00:01:15.901112 81.0867213114754 -761
2023-08-05 00:01:16.049090 84.89962295081966 -730
2023-08-05 00:01:16.397889 89.11926229508197 -783
2023-08-05 00:01:16.543716 98.06960655737704 -751
2023-08-05 00:01:16.760283 101.77324590163934 -781
2023-08-05 00:01:16.894256 107.45911475409835 -747
2023-08-05 00:01:17.037788 110.99004918032786 -753
2023-08-05 00:01:17.380306 115.81732786885244 -749
2023-08-05 00:01:17.544547 124.37291803278687 -741
2023-08-05 00:01:17.763391 128.09488524590162 -752
2023-08-05 00:01:17.898920 133.9337213114754 -752
2023-08-05 00:01:18.040427 137.4540819672131 -758
2023-08-05 00:01:18.418157 141.7921475409836 -724
2023-08-05 00:01:18.573283 151.79 -746
2023-08-05 00:01:18.779141 155.39495081967212 -727
2023-08-05 00:01:18.922918 160.76783606557376 -766
2023-08-05 00:01:19.059512 164.56452459016393 -750
2023-08-05 00:01:19.429103 169.08798360655737 -766
2023-08-05 00:01:19.619392 178.2991475409836 -740
2023-08-05 00:01:19.808510 184.36637704918033 -727
2023-08-05 00:01:19.961262 185.0332295081967 0
2023-08-05 00:01:20.495801 185.04027868852458 0
12:30:45 10 50
