1738500 98997 99134 99039 99097 99098 1003.01 
1738510 98998 99129 99027 99094 99098 1003.01 
1738520 98998 99132 99027 99098 99107 1003.01 
1738530 98996 99137 99031 99098 99101 1003.01 
1738540 99008 99133 99035 99091 99105 1003.01 
1738550 98996 99131 99039 99096 99108 1003.01 
1738560 98997 99135 99032 99091 99107 1004.02 
1738570 98996 99129 99034 99096 99109 1003.01 
1738580 98997 99136 99028 99093 99104 1003.01 
1738590 98999 99132 99038 99091 99102 1003.01 
1738600 98998 99137 99033 99105 99101 1003.01 
1738610 98999 99130 99034 99094 99104 1003.01 
1738620 99000 99127 99038 99090 99105 1003.01 
1738630 98997 99140 99039 99097 99107 1003.01 
1738640 99000 99132 99039 99092 99107 1004.02 
1738650 99004 99133 99040 99094 99100 1003.01 
1738660 98992 99135 99031 99087 99103 1003.01 
1738670 99004 99137 99035 99090 99104 1003.01 
1738680 99005 99130 99035 99094 99105 1003.01 
1738690 98993 99129 99038 99090 99103 1003.01 
1738700 99000 99132 99034 99090 99113 1003.01 
1738710 98995 99133 99039 99094 99102 1003.01 
1738720 99004 99133 99037 99085 99102 1003.01 
1738730 99002 99133 99039 99097 99106 1003.01 
1738740 98998 99130 99038 99092 99104 1004.02 
1738750 98998 99133 99031 99098 99107 1003.01 
1738760 99003 99132 99043 99093 99104 1003.01 
1738770 98999 99136 99039 99092 99103 1003.01 
1738780 99003 99134 99039 99091 99107 1003.01 
1738790 98999 99141 99026 99097 99108 1003.01 
1738800 99004 99135 99040 99093 99103 1003.01 
1738810 99003 99134 99038 99097 99105 1003.01 
1738820 98993 99137 99031 99094 99105 1003.01 
1738830 99004 99138 99042 99097 99093 1003.01 
1738840 98997 99135 99045 99087 99098 1001.00 
1738850 99000 99137 99028 99094 99104 1003.01 
1738860 98997 99142 99033 99092 99102 1003.01 
1738870 98997 99135 99041 99096 99104 1003.01 
1738880 99003 99130 99035 99096 99109 1003.01 
1738890 98997 99141 99041 99089 99103 1003.01 
1738900 98998 99134 99040 99093 99104 1003.01 
1738910 98993 99137 99033 99093 99101 1003.01 
1738920 98995 99133 99036 99092 99102 1003.01 
1738930 99003 99133 99040 99094 99102 1003.01 
1738940 99002 99138 99034 99095 99103 1003.01 
1738950 98999 99135 99040 99092 99103 1003.01 
1738960 98997 99142 99034 99093 99107 1003.01 
1738970 98999 99134 99042 99099 99105 1003.01 
1738980 98999 99133 99033 99089 99115 1003.01 
1738990 98998 99137 99040 99093 99097 1003.01 
1739000 99003 99133 99038 99097 99103 1003.01 
1739010 98994 99132 99038 99093 99105 1003.01 
1739020 99006 99139 99032 99090 99103 1003.01 
1739030 99000 99132 99028 99090 99105 1003.01 
1739040 98999 99132 99029 99099 99110 1003.01 
1739050 98995 99130 99029 99091 99105 1003.01 
1739060 98995 99134 99034 99092 99108 1003.01 
1739070 98995 99136 99036 99097 99104 1003.01 
1739080 98991 99141 99041 99085 99105 1003.01 
1739090 98998 99128 99041 99099 99098 1003.01 
1739100 99004 99134 99046 99089 99109 1003.01 
1739110 98999 99137 99029 99097 99105 1003.01 
1739120 98993 99136 99038 99089 99104 1003.01 
1739130 99000 99130 99034 99099 99106 1003.01 
1739140 98996 99135 99039 99092 99113 1003.01 
1739150 98999 99133 99040 99091 99110 1003.01 
1739160 98999 99141 99034 99090 99105 1003.01 
1739170 98994 99137 99035 99090 99105 1003.01 
1739180 99004 99128 99036 99093 99106 1003.01 
1739190 98998 99130 99038 99089 99101 1003.01 
1739200 98998 99140 99038 99085 99105 1004.02 
1739210 99004 99133 99036 99094 99105 1003.01 
1739220 99001 99130 99040 99093 99108 1003.01 
1739230 99002 99134 99032 99092 99108 1003.01 
1739240 98998 99136 99035 99090 99104 1003.01 
1739250 98997 99140 99034 99093 99110 1003.01 
1739260 98998 99142 99034 99091 99112 1003.01 
1739270 98992 99136 99035 99097 99108 1003.01 
1739280 99002 99136 99041 99091 99105 1003.01 
1739290 98995 99138 99041 99097 99104 1003.01 
1739300 99000 99137 99035 99096 99103 1003.01 
1739310 99006 99133 99028 99094 99108 1003.01 
1739320 98995 99141 99032 99098 99104 1003.01 
1739330 99003 99134 99032 99098 99112 1003.01 
1739340 98994 99137 99035 99094 99110 1003.01 
1739350 99010 99136 99039 99092 99109 1003.01 
1739360 98997 99137 99043 99088 99103 1003.01 
1739370 98993 99130 99031 99090 99103 1003.01 
1739380 98996 99133 99031 99094 99103 1003.01 
1739390 98999 99135 99038 99091 99104 1003.01 
1739400 98999 99133 99036 99092 99106 1003.01 
1739410 98997 99136 99035 99100 99104 1003.01 
1739420 98999 99137 99032 99092 99102 1003.01 
1739430 98992 99134 99035 99094 99105 1003.01 
1739440 99004 99137 99032 99099 99106 1003.01 
1739450 99004 99136 99045 99098 99105 1004.02 
1739460 98997 99133 99035 99097 99106 1003.01 
1739470 99002 99133 99040 99092 99102 1003.01 
1739480 98994 99136 99032 99094 99103 1003.01 
1739490 98998 99136 99036 99093 99099 1003.01 
